company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
other,Management Consultant,Male,White,L4,USA,USA,132000,3.0,3.0,3.0
other,Management Consultant,Other,Unknown,L4,USA,USA,131000,3.0,3.0,3.0
other,Management Consultant,Other,Unknown,L4,USA,USA,88000,0.0,0.0,3.0
other,Management Consultant,Other,Unknown,L4,USA,USA,110000,0.0,0.0,3.0
other,Management Consultant,Male,White,L4,USA,USA,115000,0.0,0.0,3.0
other,Data Scientist,Male,Asian,L5,USA,USA,138000,3.0,0.0,3.0
SAP,Software Engineer,Male,Asian,L1,India,India,29000,1.0,1.0,3.0
SAP,Software Engineer,Male,Asian,L1,India,India,29000,0.0,0.0,3.0
SAP,Software Engineer,Male,White,L1,Ireland,UK&IRE,48000,3.0,2.0,3.0
other,Software Engineering Manager,Other,Unknown,L6,USA,USA,168000,21.0,2.0,4.0
other,Product Manager,Female,Two Or More,L6,USA,USA,483000,7.0,4.0,3.0
other,Solution Architect,Male,Unknown,L6,USA,USA,186000,15.0,1.0,3.0
other,Product Manager,Other,Unknown,L6,USA,USA,160000,4.0,2.0,4.0
other,Product Manager,Female,Hispanic,L6,USA,USA,143000,15.0,1.0,3.0
other,Product Manager,Other,Unknown,L6,USA,USA,160000,10.0,10.0,4.0
